title,authors,published_date,categories,description,rating
The Analects,,,,,3.83
The Twentieth Wife (Taj Mahal Trilogy  #1),,,,,4.04
La Emperatriz tras el velo (Trilogía Taj Mahal  #1),,,,,4.04
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,,,,,3.87
Buddha,,,,,3.89
Islam: A Short History,,,,,4.02
The Spiral Staircase: My Climb Out of Darkness,,,,,3.99
The Battle for God: A History of Fundamentalism,,,,,3.93
Muhammad: A Biography of the Prophet,,,,,4.15
The Analects of Confucius: A Philosophical Translation,,,,,3.83
Analects,,,,,3.83
Hiroshima,,,,,3.97
The Wall,,,,,4.28
Silent Spring,,,,,3.97
The House of Life: Rachel Carson at Work,,,,,3.95
Under the Sea Wind (Nature Classic),,,,,4.14
Black Meets White,,,,,3.5
Back Bay (Peter Fallon  #1),,,,,3.91
Letters from the Bay of Islands: The Story of Marianne Williams,,,,,3.72
"Since ""Silent Spring""",,,,,3.78
A Civil Action,,,,,3.97
The Lost Painting,,,,,3.74
The Lost Painting,,,,,3.74
Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States,,,,,3.91
The Library of Greek Mythology,,,,,3.98
The Library 1  Books 1-3.9,,,,,3.93
The Library of Apollodorus: Gods and Heroes of the Greeks,,,,,3.98
Apollodorus' Library and Hyginus' Myths: Two Handbooks of Greek Mythology,,,,,3.98
Mythographi Graeci 1: Apollodori Bibliotheca  Apollodori epitoma  Procli excerpta ex cycli epici carminibus  Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana,,,,,0.0
Theogony / Works and Days,,,,,3.75
The Works and Days/Theogony,,,,,3.75
Theogony/Works and Days/Shield,,,,,3.97
The Works and Days/Theogony/The Shield of Herakles,,,,,3.97
The Poems,,,,,3.75
Theogonia  Opera et Dies  Scutum  Fragmenta Selecta (Classical Texts),,,,,4.06
Works of Hesiod and the Homeric Hymns,,,,,3.73
The Georgics of Virgil,,,,,3.85
The Death of Virgil,,,,,4.19
The Eclogues of Virgil,,,,,3.91
The Art of the Personal Essay: An Anthology from the Classical Era to the Present,,,,,4.19
The Art of the Personal Essay: An Anthology from the Classical Era to the Present,,,,,4.19
Waterfront: A Walk Around Manhattan,,,,,3.71
The DC Comics Encyclopedia,,,,,4.29
The Marvel Encyclopedia,,,,,4.37
Reinventing Jesus: How Contemporary Skeptics Miss the Real Jesus and Mislead Popular Culture,,,,,4.2
The Great Gatsby,,,,,3.91
Daniel Deronda,,,,,3.84
King Leopold's Ghost,,,,,4.15
The End of Days (The Earth Chronicles  #7),,,,,4.08
Mating in Captivity: Reconciling the Erotic and the Domestic,,,,,4.15
The Mating Mind: How Sexual Choice Shaped the Evolution of Human Nature,,,,,4.1
The Evolution Of Desire: Strategies of Human Mating,,,,,4.08
Middlesex,,,,,4.0
The Liberated Bride,,,,,3.77
Plan of Attack,,,,,3.68
The Commanders,,,,,3.71
Veil: The Secret Wars of the CIA 1981-1987,,,,,3.67
Shadow: Five Presidents and the Legacy of Watergate,,,,,3.72
The Brethren: Inside the Supreme Court,,,,,4.11
Katy and the Big Snow (Book & Cassette),,,,,4.24
Left Behind (Left Behind  #1),,,,,3.83
Armageddon: The Cosmic Battle of the Ages (Left Behind  #11),,,,,4.03
Desecration (Left Behind  #9),,,,,4.01
Nicolae (Left Behind  #3),,,,,3.96
Banker to the Poor: Micro-Lending and the Battle Against World Poverty,,,,,4.09
Working with Emotional Intelligence,,,,,3.81
On Intelligence,,,,,4.12
The Emotional Intelligence Quick Book: Everything You Need to Know to Put Your EQ to Work,,,,,3.52
Financial Intelligence: A Manager's Guide to Knowing What the Numbers Really Mean,,,,,4.12
Artificial Intelligence: A Modern Approach,,,,,4.17
"Most Likely to Succeed at Work: How Work Is Just Like High School -- Crib Notes for Getting Along and Getting Ahead Amidst Bullies  Teachers' Pets  Cheerleaders  and Other Members of the ""Class""",,,,,3.45
Walking with the Wind: A Memoir of the Movement,,,,,4.49
Jackie After Jack: Portrait of the Lady,,,,,3.95
To Battle the Gods (Jalav  Amazon Warrior  #5),,,,,4.07
A Tale of Love and Darkness,,,,,4.22
What Went Wrong? The Clash Between Islam & Modernity in the Middle East,,,,,3.49
Not Even Wrong: The Failure of String Theory and the Search for Unity in Physical Law,,,,,3.93
Boy  Were  We Wrong About Dinosaurs!,,,,,3.93
There Is Nothing Wrong with You: Going Beyond Self-Hate,,,,,4.18
Dead Wrong (Joanna Brady  #12),,,,,4.04
Sixty Million Frenchmen Can't Be Wrong,,,,,3.74
The Perfect Wrong Note: Learning to Trust Your Musical Self,,,,,4.24
In the Footsteps of Mr. Kurtz: Living on the Brink of Disaster in Mobutu's Congo,,,,,3.99
Acts of Faith,,,,,3.94
Simple Acts of Faith: Heartwarming Stories of One Life Touching Another,,,,,4.36
The Cross From A Distance: Atonement In Mark's Gospel,,,,,3.89
Cults in Our Midst: The Continuing Fight Against Their Hidden Menace,,,,,3.95
Mortals,,,,,3.74
Whites,,,,,3.77
Hasta que te encuentre,,,,,3.63
Howards End,,,,,3.96
Women  Cats: The History of a Love Affair,,,,,4.23
EULIS! The History of Love,,,,,3.85
Secretos De Familia,,,,,3.57
Accidental Empires,,,,,4.01
The Complete ACOA Sourcebook: Adult Children of Alcoholics at Home  at Work and in Love,,,,,4.09
Bury the Chains,,,,,4.28
Bury the Chains,,,,,4.28
On Christian Belief (Works of Saint Augustine),,,,,4.08
Mary Stewart's Merlin Trilogy (Arthurian Saga  #1-3),,,,,4.39
Touch Not the Cat,,,,,3.91
The Gabriel Hounds,,,,,3.92
The Wicked Day (Arthurian Saga  #4),,,,,4.09
The Moonspinners,,,,,4.03
This Rough Magic,,,,,4.05
Nine Coaches Waiting,,,,,4.03
Airs Above the Ground,,,,,4.05
Madam  Will You Talk?,,,,,4.05
The Night of Wishes,,,,,4.12
Mirror in the Mirror,,,,,4.14
The Greek's Royal Mistress (Princess Brides  #2),,,,,3.69
La Cantatrice chauve / La Leçon,,,,,3.9
Death of a Perfect Wife (Hamish Macbeth  #4),,,,,3.81
Cold Sleep (Cold Series #1),,,,,3.73
The Restless Sleep: Inside New York City's Cold Case Squad,,,,,3.49
L'Étranger,,,,,3.98
La caída,,,,,4.04
Le Premier homme,,,,,3.96
Noces,,,,,3.65
How to Be a Perfect Stranger: The Essential Religious Etiquette Handbook,,,,,3.95
The Basic Political Writings,,,,,3.87
Henri Rousseau: Jungles in Paris,,,,,4.06
Julie  or the New Heloise,,,,,3.46
Anesthesiology Review,,,,,3.67
Faust  Part Two,,,,,3.73
The Jew of Malta,,,,,3.6
The Trumpeter of Krakow,,,,,3.76
Numerical Recipes in C: The Art of Scientific Computing,,,,,4.16
Numerical Recipes Example Book C++: The Art of Scientific Computing,,,,,3.25
Numerical Recipes: Example Book C,,,,,3.75
Eugene Onegin,,,,,4.09
Eugene Onegin,,,,,4.09
Eugene Onegin,,,,,4.09
Eugene Onegin,,,,,4.09
Eugene Onegin: A Novel in Verse (Vol. 1),,,,,4.09
Eugene Onegin  Vol. II (Commentary),,,,,4.38
Eugene Onegin: A Novel in Verse,,,,,4.09
Eugene Onegin,,,,,4.09
Data Structures and Algorithms in Java,,,,,3.83
Data Structures and Algorithm Analysis in C++,,,,,3.87
Data Structures and Algorithms in C++,,,,,3.8
Data Structures and Abstractions with Java,,,,,3.47
Data Structures and Algorithm Analysis in C,,,,,3.85
Data Structures and Algorithms in C++,,,,,3.8
Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,,,,,4.16
Savage Stone Age Sticker Book (Horrible Histories),,,,,4.0
The Girl  the Dragon  and the Wild Magic (Rhianna  #1),,,,,3.86
Wildfire (Drinker of Souls: Wild Magic  #2),,,,,3.72
A Sudden Wild Magic,,,,,3.75
Wild Magic (Drinker of Souls: Wild Magic  #1),,,,,3.71
Exile's Children (Exiles  #1),,,,,3.54
Lords of the Sky,,,,,3.94
On a Dark Night I Left My Silent House,,,,,3.27
Selected Writings,,,,,4.29
The Essential Augustine,,,,,3.69
A Mortal Bane (Magdalene La Batarde  #1),,,,,3.9
Crimes Against Nature: How George W. Bush and His Corporate Pals Are Plundering the Country and Hijacking Our Democracy,,,,,4.08
A Lie and a Libel: The History of the Protocols of the Elders of Zion,,,,,3.3
Citizen X: Killer Department,,,,,4.01
A Mulligan for Bobby Jobe: A Novel,,,,,3.32
Close Range,,,,,3.99
Accordion Crimes,,,,,3.59
Heart Songs and Other Stories,,,,,3.94
Cider,,,,,3.64
Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,,,,,3.95
Shamanism: Archaic Techniques of Ecstasy,,,,,4.22
Images and Symbols: Studies in Religious Symbolism,,,,,4.16
The Myth of the Eternal Return or  Cosmos and History,,,,,4.24
Youth Without Youth & Other Novellas (Romanian Literature & Thought in Translation),,,,,3.92
Bengal Nights,,,,,3.93
Myth and Reality,,,,,4.08
Dark Intimacy: Hope for Those in Difficult Prayer-Experiences,,,,,4.0
As Eve Said to the Serpent: On Landscape  Gender  and Art,,,,,4.09
River of Shadows: Eadweard Muybridge and the Technological Wild West,,,,,4.15
Wanderlust: A History of Walking,,,,,3.92
Storming the Gates of Paradise: Landscapes for Politics,,,,,4.21
Situationist International Anthology: Revised and Expanded Edition,,,,,4.26
Leaving the 20th Century: The Incomplete Work of the Situationist International,,,,,4.1
Barrel Fever and Other Stories,,,,,3.79
The Birth of Venus,,,,,3.81
One Hundred Years of Solitude,,,,,4.07
Gabriel García Márquez: One Hundred Years of Solitude,,,,,4.54
Far Afield,,,,,3.81
The Steps (Steps  #1),,,,,3.58
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,,,,,3.76
The Eden Express: A Memoir of Insanity,,,,,3.87
A Wicked Gentleman (Cavendish Square  #1),,,,,3.62
A Picture Book of Thomas Jefferson (Picture Book Biographies) (Picture Book Biography),,,,,3.75
Bound In Blood: The Erotic Journey of a Vampire,,,,,3.35
On Vital Reserves,,,,,4.5
Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7),,,,,4.06
The Titan's Curse (Percy Jackson and the Olympians  #3),,,,,4.35
The Sea of Monsters (Percy Jackson and the Olympians  #2),,,,,4.24
The Lightning Thief (Percy Jackson and the Olympians  #1),,,,,4.25
The Lightning Thief (Percy Jackson and the Olympians  #1),,,,,4.25
When Santa Fell to Earth,,,,,3.76
Inkheart (Inkworld  #1),,,,,3.88
Inkspell (Inkworld  #2),,,,,3.92
Ghosthunters and the Incredibly Revolting Ghost (Ghosthunters  #1),,,,,3.73
Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),,,,,3.93
The Metaphysical Club,,,,,4.07
Vulcan's Forge (Philip Mercer  #1),,,,,3.99
Pandora's Curse (Philip Mercer #4),,,,,4.17
Charon's Landing (Philip Mercer  #2),,,,,4.08
The Medusa Stone (Philip Mercer  #3),,,,,4.1
River Of Ruin (Philip Mercer  #5),,,,,4.19
Deep Fire Rising (Philip Mercer  #6),,,,,4.19
And the Band Played On: Politics  People  and the AIDS Epidemic,,,,,4.37
The Band Played Dixie: Race and the Liberal Conscience at Ole Miss,,,,,3.96
La mezzanine,,,,,3.84
Checkpoint,,,,,2.88
Double Fold: Libraries and the Assault on Paper,,,,,3.42
A Box of Matches,,,,,3.67
Dark Star Safari: Overland from Cairo to Cape Town,,,,,3.96
Dark Star Safari: Overland from Cairo to Cape Town,,,,,3.96
The Magicians' Guild (Black Magician Trilogy  #1),,,,,3.95
The Novice (Black Magician Trilogy  #2),,,,,4.07
The High Lord (Black Magician Trilogy  #3),,,,,4.15
The Magicians' Guild (Black Magician Trilogy  #1),,,,,3.95
Stone Age Economics,,,,,3.9
"How ""Natives"" Think: About Captain Cook  For Example",,,,,3.64
The Use and Abuse of Biology: An Anthropological Critique of Sociobiology,,,,,3.91
Historical Metaphors and Mythical Realities: Structure in the Early History of the Sandwich Islands Kingdom,,,,,3.74
Legacy of the Darksword (The Darksword  #4),,,,,3.47
When Rain Clouds Gather,,,,,3.84
Election,,,,,3.86
Joe College,,,,,3.39
A Void,,,,,3.8
Things: A Story of the Sixties; A Man Asleep,,,,,3.98
W  or the Memory of Childhood,,,,,3.88
Species of Spaces and Other Pieces,,,,,4.28
The Daring Young Man on the Flying Trapeze and Other Stories,,,,,4.21
My Name is Aram,,,,,4.15
Karate Is a Thing of the Spirit,,,,,3.79
La disparition,,,,,3.8
Las Noches Blancas. El Jugador. Un Ladrón Honrado. (Sepan Cuantos  #259),,,,,3.9
Los hermanos Karamazov,,,,,4.32
Crime and Punishment,,,,,4.21
I Wish That I Had Duck Feet,,,,,4.16
And to Think That I Saw It on Mulberry Street,,,,,4.0
I'm the One That I Want,,,,,3.69
Am I That Name?: Feminism And The Category Of Women In History,,,,,3.64
Zazie in the Metro,,,,,3.72
The Blue Flowers,,,,,4.05
Witch Grass,,,,,3.93
The Last Days,,,,,3.8
The Flight of Icarus,,,,,3.99
Heartsnatcher,,,,,3.97
Dead Souls,,,,,3.99
Diary of a Madman and Other Stories,,,,,4.12
In the Shadow of Young Girls in Flower (In Search of Lost Time  #2),,,,,4.4
Proust's Way: A Field Guide to In Search of Lost Time,,,,,3.92
Marcel Proust: A Life,,,,,4.33
Within a Budding Grove  Volume 2 (Remembrance of Things Past  #3),,,,,4.04
In the Shadow of Young Girls in Flower (In Search of Lost Time  #2),,,,,4.4
Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain,,,,,4.53
The Illustrated Man,,,,,4.14
Combray (Remembrance of Things Past  #1),,,,,3.79
Proust And Signs: The Complete Text,,,,,4.22
Germinal,,,,,4.13
Taxi Driver,,,,,3.93
The Masterpiece,,,,,3.96
His Excellency (Les Rougon-Macquart  #6),,,,,3.7
The Ladies' Paradise,,,,,3.99
The Conquest of Plassans (Les Rougon-Macquart  #4),,,,,3.9
La Bête humaine,,,,,4.06
Taxi Driver,,,,,4.12
La Débâcle,,,,,4.01
The Earth,,,,,4.08
Intimate Enemies,,,,,3.81
The Truelove Bride,,,,,3.65
The Secret Swan,,,,,3.67
The Smoke Thief (Drakon  #1),,,,,3.74
Strategies of Containment: A Critical Appraisal of American National Security Policy During the Cold War,,,,,4.03
A Frolic of His Own,,,,,3.85
Agapē Agape,,,,,3.81
The Review of Contemporary Fiction: Fall 2001: Gilbert Sorrentino/William Gaddis/Mary Caponegro/Margery Latimer,,,,,3.4
Carpenter's Gothic,,,,,3.77
First Love and Other Stories,,,,,4.14
Sketches from a Hunter's Album,,,,,3.93
Spring Torrents,,,,,3.94
Home of the Gentry,,,,,3.92
ADHD in Adulthood: A Guide to Current Theory  Diagnosis  and Treatment,,,,,3.4
Sclerotherapy and vein treatment,,,,,0.0
Fantastic Alice,,,,,3.4
The Reign of Istar (Dragonlance: Tales II  #1),,,,,3.72
Dragons of the Highlord Skies (Dragonlance: The Lost Chronicles  #2),,,,,4.05
The Players of Gilean (Dragonlance: Tales from the War of Souls  #2),,,,,3.69
The Hand of Chaos (The Death Gate Cycle  #5),,,,,4.06
The Seventh Gate (The Death Gate Cycle  #7),,,,,4.11
Into the Labyrinth (The Death Gate Cycle  #6),,,,,4.11
Elven Star (The Death Gate Cycle  #2),,,,,3.99
Beyond Death: The Gates of Consciousness,,,,,4.0
Elven Star (The Death Gate Cycle  #2),,,,,3.99
The Mantle of Kendis-Dai (Starshield  #1),,,,,3.57
Warrior Angel,,,,,3.15
Dragons of a Vanished Moon (Dragonlance: The War of Souls  #3),,,,,3.91
Starshield: Sentinels,,,,,3.57
The Soulforge (Dragonlance: Raistlin Chronicles  #1),,,,,4.16
Love and War: Tales  Volume Three (Dragonlance: Tales),,,,,3.87
New Amazons,,,,,3.56
Nightsword (Starshield  #2),,,,,3.67
Realms of Dragons: The Universes of Margaret Weis and Tracy Hickman,,,,,4.06
Well of Darkness (Sovereign Stone  #1),,,,,3.67
The Best of Tales: Volume Two (Dragonlance Anthology),,,,,3.82
The Search for Power (Dragonlance: Tales from the War of Souls  #3),,,,,3.98
Journey Into the Void (Sovereign Stone  #3),,,,,3.86
The Magic of Krynn (DragonLance: Tales I  #1),,,,,3.74
More Leaves from the Inn of the Last Home (Dragonlance: Leaves from the Inn of the Last Home  #2),,,,,4.01
Dragonsong (Harper Hall  #1),,,,,4.24
Dragonsong (Pern: Harper Hall  #1),,,,,4.24
Dragonsinger (Harper Hall  #2),,,,,4.28
Dragondrums (Harper Hall  #3),,,,,4.07
More Twisted: Collected Stories Vol. II,,,,,3.84
The Coffin Dancer (Lincoln Rhyme  #2),,,,,4.16
The Stone Monkey (Lincoln Rhyme  #4),,,,,3.96
The Sleeping Doll (Kathryn Dance #1),,,,,3.93
The Twelfth Card (Lincoln Rhyme  #6),,,,,3.99
Hard News (Rune  #3),,,,,3.46
Death Of A Blue Movie Star (Rune  #2),,,,,3.53
Bloody River Blues (John Pellam  #2),,,,,3.49
Hell's Kitchen (John Pellam  #3),,,,,3.6
The Empty Chair (Lincoln Rhyme  #3),,,,,4.05
Twisted: The Collected Short Stories,,,,,3.93
The Vanished Man (Lincoln Rhyme  #5),,,,,4.1
Praying for Sleep,,,,,3.8
The Devil's Teardrop,,,,,4.0
Judge Dredd (Audio Cassette),,,,,2.96
Prometheus Rising,,,,,4.26
Tristan Taormino's True Lust,,,,,3.97
A Free Enquiry Into the Vulgarly Received Notion of Nature,,,,,3.0
The Munsters: A Trip Down Mockingbird Lane,,,,,4.45
Immortality,,,,,4.14
Identity,,,,,3.68
The Curtain: An Essay in Seven Parts,,,,,3.96
The Art of the Novel,,,,,3.96
Yours in Food  John Baldessari: with meditations on eating by Paul Auster  David Byrne  Dave Eggers  David Gilbert  Tim Griffin  Andy Grundberg  John Haskell  Michael Kimmelman  Michael More  Glenn O'Brien  Francine Prose  Peter Schjeldahl  Lynne Tillman,,,,,4.0
You Shall Know Our Velocity,,,,,3.63
Thin Air (Weather Warden  #6),,,,,3.96
Seven Types of Ambiguity,,,,,3.85
Traitor's Knot (Wars of Light and Shadow  #7),,,,,4.2
The Curse of the Mistwraith (Wars of Light and Shadow  #1),,,,,3.76
Warhost of Vastmark (Wars of Light & Shadow  #3; Arc 2 - The Ships of Merior  #2),,,,,4.04
Fugitive Prince (Wars of Light and Shadow  #4),,,,,3.89
Peril's Gate (Wars of Light & Shadow #6; Arc 3 - Alliance of Light  #3),,,,,4.16
To Ride Hell's Chasm,,,,,3.82
Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light  #2),,,,,4.11
Shadowplay (Shadowmarch  #2),,,,,3.9
Shadowmarch (Shadowmarch  #1),,,,,3.73
Stone of Farewell (Memory  Sorrow  and Thorn  #2),,,,,4.09
To Green Angel Tower (Memory  Sorrow  and Thorn  #3),,,,,4.18
The War of the Flowers,,,,,3.88
Shadowmarch (Shadowmarch  #1),,,,,3.73
City of Golden Shadow (Otherland  #1),,,,,3.91
To Green Angel Tower  Part 2 (Memory  Sorrow  and Thorn  #3; Part 2),,,,,4.2
Traumjäger und Goldpfote,,,,,3.97
Falling Man,,,,,3.21
Ratner's Star,,,,,3.49
Blood Meridian  or the Evening Redness in the West,,,,,4.17
Blood Meridian,,,,,4.17
Cormac McCarthy's All the Pretty Horses,,,,,4.09
Four & Twenty Blackbirds (Bardic Voices  #4),,,,,3.81
Exile's Honor (Heralds of Valdemar  #6),,,,,4.2
Spirits White as Lightning (Bedlam's Bard  #5),,,,,3.95
Beyond World's End (Bedlam's Bard  #4),,,,,3.93
The Dragon Quintet,,,,,3.77
Fiddler Fair,,,,,3.9
Take a Thief (Valdemar #25),,,,,4.12
Magic's Price (Valdemar: Last Herald-Mage #3),,,,,4.27
By the Sword (Valdemar),,,,,4.25
Oathblood (Valdemar: Vows and Honor  #3),,,,,4.06
CivilWarLand in Bad Decline,,,,,4.22
The Very Persistent Gappers of Frip,,,,,4.11
The Brief and Frightening Reign of Phil,,,,,3.7
The Cheese Monkeys,,,,,3.75
Magic's Pawn (Valdemar: Last Herald-Mage #1),,,,,4.21
Magic's Promise (Valdemar: Last Herald-Mage #2),,,,,4.21
His Master's Voice,,,,,4.11
The Chain of Chance,,,,,3.7
Fiasco,,,,,4.12
A Perfect Vacuum,,,,,4.18
Eden,,,,,3.91
Tales of Pirx the Pilot,,,,,4.1
The Song of Rhiannon,,,,,4.02
Why Did the Soviet Union Collapse?: Understanding Historical Change,,,,,3.44
Ballad of the Whiskey Robber: A True Story of Bank Heists  Ice Hockey  Transylvanian Pelt Smuggling  Moonlighting Detectives  and Broken Hearts,,,,,4.02
Changeling,,,,,3.72
The Waterborn (Children of the Changeling  #1),,,,,3.81
Social Psychology,,,,,4.0
Influence: The Psychology of Persuasion,,,,,4.19
Writings 1902-1910: The Varieties of Religious Experience / Pragmatism / A Pluralistic Universe / The Meaning of Truth / Some Problems of Philosophy / Essays,,,,,4.21
Writings 1878–1899: Psychology: Briefer Course / The Will to Believe / Talks to Teachers and to Students / Essays,,,,,4.25
The Will to Believe  Human Immortality and Other Essays in Popular Philosophy,,,,,4.07
Ghost Hunters: William James and the Search for Scientific Proof of Life After Death,,,,,3.7
The Principles of Psychology: Vols 1-2 (Works of William James),,,,,4.18
The Story of Philosophy,,,,,4.12
The Return of the King (The Lord of the Rings  #3),,,,,4.53
The Book of Lost Tales  Part Two (The History of Middle-earth  #2),,,,,3.86
The Gospel According to Jesus Christ,,,,,4.29
El Evangelio Según Jesucristo,,,,,4.29
The Prince,,,,,3.81
The Raven Prince (Princes Trilogy  #1),,,,,3.97
Le Petit Prince,,,,,4.31
Dark Prince (Dark  #1),,,,,4.0
The Princes of Ireland (The Dublin Saga  #1),,,,,3.86
Prince Caspian (Chronicles of Narnia  #4),,,,,3.97
Pégate un tiro para sobrevivir: un viaje personal por la América de los mitos,,,,,3.81
