title,authors,published_date,categories,description,rating,user_id
Da Vinci Code (Robert Langdon  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,305
Deception Point,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,507
A Killing Rain (Louis Kincaid  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,641
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,666
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,493
Think and Grow Rich,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,666
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.58,656
Read My Lips: Sexual Subversion and the End of Gender,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,126
Trump: The Art of the Deal,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,130
The Richest Man in Babylon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,280
Shibumi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,75
1776,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,296
The Crescent Obscured: The United States and the Muslim World  1776-1815,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,59
The Good Earth (House of Earth  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,675
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,396
Fast Food Nation: The Dark Side of the All-American Meal,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,195
Fast Food Nation: What The All-American Meal is Doing to the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,23
Snow Flower and the Secret Fan,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,512
The Broker,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,610
The Power Broker: Robert Moses and the Fall of New York,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.51,124
The Power Broker: A Novel (Christian Gillette  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,487
Body For Life: 12 Weeks to Mental and Physical Strength,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,65
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,448
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,272
The Warren Buffett Way,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,536
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,215
Monkey Business: True Story of the Scopes Trial,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.15,116
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,113
Monkey Business,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,614
Liar's Poker,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,677
Liar's Poker: A Harry Garnish Mystery,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.31,157
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,622
Giada's Family Dinners,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,348
Everyday Italian: 125 Simple and Delicious Recipes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,378
Everyday Pasta,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,432
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.09,194
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,599
Eat This Book: Cooking with Global Fresh Flavors,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,439
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,293
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,571
The Last Assassin (John Rain  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,650
Life of Pi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,36
L'Histoire de Pi,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,242
Shadows and Wind: A View of Modern Vietnam,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.49,445
A Million Little Pieces,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,358
A Million Little Pieces of Feces,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.56,677
A Million Little Lies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.41,667
The Leadership Challenge,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,687
Lincoln on Leadership: Executive Strategies for Tough Times,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,643
Leadership in Organizations,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,358
Leadership,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,563
Men Are from Mars  Women Are from Venus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,506
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,253
How to Succeed with Women,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,51
The Clan of the Cave Bear (Earth's Children  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,671
Moneyball: The Art of Winning an Unfair Game,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,315
Juiced Official Strategy Guide,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,0.0,405
The 48 Laws of Power,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,461
Gates of Fire,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,540
Fire Sea (The Death Gate Cycle  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,376
The Gate of Fire (Oath Of Empire Book Two),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.58,308
The Afghan Campaign,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,597
Tides of War,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,90
Last of the Amazons,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,306
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,94
Gita on the Green,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,86
Blood Stripes: The Grunt's View of the War in Iraq,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,668
Phaedrus and Letters VII and VIII,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,95
Phaedrus,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,116
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,329
Enthusiasm and Divine Madness,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,176
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,448
Gorgias/Phaedrus (Agora),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.35,509
Statesman,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,256
Gorgias,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,450
The Histories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,229
The History (Great Minds),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,687
The History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,200
The Iliad,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,310
Iliad,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,376
The Iliad/The Odyssey,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,115
The Essential Iliad,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,64
The Odyssey,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,614
Aeneid: Selections from Books 1  2  4  6  10  12,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.35,515
Eclogues. Georgics. Aeneid: Books 1-6,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,432
City Eclogue,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,331
The Eclogues and The Georgics,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,539
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,348
The Complete Pelican Shakespeare,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,14
The Complete Works,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,14
Hamlet,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,439
The Compleat Works of Wllm Shkspr (abridged),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.44,379
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,484
The Valkyries,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.31,98
Warrior of the Light,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,418
The Zahir,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,115
By the River Piedra I Sat Down and Wept,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,451
The Fifth Mountain,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,125
Veronika Decides to Die,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,262
Cliffs Notes on Shakespeare's Hamlet,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,514
